"kNN", "MAE"
"1", "0.2059269223327805"
"6", "0.1913158592091543"
"11", "0.18479558131758358"
"16", "0.17791691171076557"
"21", "0.17375964877243408"
"26", "0.16954991645738088"
"31", "0.16683055434727337"
"36", "0.16339680043567764"
"41", "0.16250340874154498"
"46", "0.16100023548846873"
"51", "0.15963631930867433"
"56", "0.15845240949800346"
"61", "0.15697029361767983"
"66", "0.15576843346524888"
"71", "0.15482262435770783"
"76", "0.15522734680953945"
"81", "0.15505418398227291"
"86", "0.15413096195587903"
"91", "0.1531488284979302"
"96", "0.15306532265406478"
"101", "0.1539091614075589"
"106", "0.15325461721729222"
"111", "0.15301906192055154"
"116", "0.15329156336726424"
"121", "0.15266613918415511"
"126", "0.1545128414066345"
"131", "0.15419870115861076"
"136", "0.15402252322783638"
"141", "0.1554946251583631"
"146", "0.16190421083036752"
